,id,age,workclass,fnlwgt,education,education-num
31890,0,46,Private,128645,Some-college,10
95,1,29,Local-gov,115585,Some-college,10
11719,2,32,Private,194981,HS-grad,9
1991,3,26,Private,236564,HS-grad,9
701,4,31,Private,243605,Bachelors,13
28009,5,62,,181063,10th,6
22236,6,38,Self-emp-not-inc,30916,Assoc-acdm,12
14043,7,22,Private,412316,HS-grad,9
22576,8,33,Private,275369,7th-8th,4
31201,9,21,,176356,Some-college,10
17118,10,28,Private,185127,Some-college,10
7388,11,59,Private,193895,Some-college,10
14204,12,56,Self-emp-inc,165881,HS-grad,9
21617,13,21,Private,182614,Some-college,10
27460,14,28,Private,163772,HS-grad,9
1482,15,53,Self-emp-inc,263925,HS-grad,9
11859,16,30,Private,257874,Bachelors,13
12495,17,45,Private,151627,Some-college,10
29135,18,24,Private,142528,Some-college,10
32074,19,30,Private,318749,Assoc-voc,11
18774,20,30,State-gov,158291,Bachelors,13
23748,21,43,Private,183891,HS-grad,9
24236,22,37,Private,49626,Assoc-voc,11
14420,23,51,State-gov,454063,Doctorate,16
12618,24,44,Private,162184,Some-college,10
28273,25,28,Federal-gov,183445,HS-grad,9
4251,26,43,Private,243476,HS-grad,9
9103,27,66,Self-emp-not-inc,174788,Some-college,10
26852,28,39,Private,393480,HS-grad,9
26826,29,42,Private,34278,Some-college,10
23456,30,24,Private,103277,HS-grad,9
16642,31,18,,195981,HS-grad,9
21904,32,42,Private,280410,HS-grad,9
1412,33,39,Private,24342,Bachelors,13
28488,34,30,Private,167832,HS-grad,9
15131,35,53,Federal-gov,167410,Bachelors,13
7934,36,43,Private,972354,Some-college,10
27956,37,37,Private,324947,Bachelors,13
16130,38,20,,369678,HS-grad,9
9754,39,44,Self-emp-not-inc,567788,5th-6th,3
12161,40,20,,40060,Some-college,10
21762,41,67,,233182,HS-grad,9
7540,42,50,Self-emp-not-inc,170562,Assoc-acdm,12
6912,43,31,Private,236861,HS-grad,9
4362,44,20,Private,246250,Some-college,10
25477,45,43,Private,403276,HS-grad,9
9423,46,24,Private,285432,HS-grad,9
28902,47,42,Private,29320,Bachelors,13
21192,48,52,Private,145333,Bachelors,13
7309,49,38,Private,33975,HS-grad,9
3326,50,32,Private,43403,Some-college,10
13624,51,23,Local-gov,203353,Bachelors,13
3873,52,34,Private,137900,HS-grad,9
24637,53,23,Private,481175,Some-college,10
22940,54,25,Private,266820,Preschool,1
25154,55,35,Private,78247,Assoc-voc,11
30778,56,38,Private,167482,Some-college,10
25465,57,56,Self-emp-inc,109856,Bachelors,13
25039,58,33,Private,133503,HS-grad,9
21942,59,38,Federal-gov,190174,HS-grad,9
2363,60,28,Private,42734,HS-grad,9
12261,61,45,Private,88781,Bachelors,13
23409,62,46,Private,75256,HS-grad,9
16536,63,33,Private,236396,HS-grad,9
22325,64,61,Self-emp-not-inc,315977,HS-grad,9
10736,65,30,Private,243190,Prof-school,15
3271,66,38,Federal-gov,99527,Masters,14
10358,67,50,Private,166758,Some-college,10
20102,68,39,Private,194287,7th-8th,4
24122,69,43,Private,152958,Bachelors,13
7748,70,68,Private,144137,Some-college,10
6504,71,23,Private,33105,Some-college,10
8356,72,37,Private,130620,12th,8
14955,73,63,Private,268965,12th,8
9309,74,36,Private,370767,HS-grad,9
18654,75,39,Private,190297,Doctorate,16
18893,76,53,Local-gov,197054,Masters,14
27937,77,21,State-gov,478457,Some-college,10
8234,78,65,Private,115880,Doctorate,16
737,79,43,State-gov,260960,Bachelors,13
32289,80,24,Private,34568,Assoc-voc,11
16272,81,63,Private,172740,Some-college,10
29503,82,23,Private,163665,Some-college,10
23436,83,50,Private,160572,HS-grad,9
9981,84,29,Private,239632,HS-grad,9
2568,85,29,Self-emp-not-inc,29616,HS-grad,9
23470,86,27,Private,271603,7th-8th,4
7912,87,24,Private,211129,Bachelors,13
10278,88,32,Private,153326,Bachelors,13
2148,89,31,State-gov,60186,Bachelors,13
28313,90,28,Private,204734,Some-college,10
11512,91,90,Private,87285,HS-grad,9
31800,92,29,Private,413297,Some-college,10
26033,93,67,Self-emp-not-inc,217892,Doctorate,16
24305,94,32,Private,168138,Assoc-acdm,12
14727,95,61,Private,223133,HS-grad,9
14198,96,61,Private,273803,HS-grad,9
3541,97,39,Self-emp-not-inc,188571,Assoc-voc,11
21977,98,24,Private,239663,10th,6
11540,99,42,Private,66460,Some-college,10
27977,100,35,Private,197719,Some-college,10
1652,101,26,Self-emp-not-inc,163189,HS-grad,9
31278,102,49,Private,122206,Assoc-voc,11
15830,103,53,Private,290688,HS-grad,9
14135,104,21,Private,185582,Some-college,10
11523,105,48,Private,80430,11th,7
26980,106,54,Private,421561,Some-college,10
30590,107,40,Local-gov,183765,Assoc-acdm,12
26679,108,41,Private,30759,7th-8th,4
